race,count,avg_e,sd_empathy,avg_pb,sd_pb
White,447,3.3058485139022054,0.44172225507152624,4.657311368720765,0.6221591288440289
Black,82,3.3780487804878048,0.5906690038580623,4.688470066518847,0.7149675172483781
Other,32,3.3392857142857144,0.40528113439111735,4.605113636363637,0.8201700752157397
