rel_strength,count,avg_e,sd_empathy,avg_pb,sd_pb
Many times a day,126,3.2868480725623583,0.4923897682075033,4.448773448773449,0.7162571246840288
Every day,173,3.42691990090834,0.47803893599286634,4.582238570677877,0.6780259691957287
Most days,92,3.31055900621118,0.40328806442474385,4.709486166007905,0.5707168829641972
Some days,48,3.2083333333333335,0.3680207631313986,4.696969696969697,0.539077269238574
Once in a while,58,3.2438423645320196,0.5510193793176151,5.001567398119122,0.5121381175480457
Never/Almost Never,64,3.247767857142857,0.3836994385600266,4.8678977272727275,0.521335354277932
