partyid,count,avg_e,sd_empathy,avg_pb,sd_pb
Strong Democrat,189,3.3371126228269086,0.5258756516435942,4.6657046657046655,0.6232876020819751
Independent,197,3.2980420594633792,0.4430890245609406,4.694508537148131,0.7055968326035488
Strong Republican,175,3.320816326530612,0.41613514571834387,4.611428571428571,0.6054921950112525
